MMSI,IMO,船名,船长,船宽,载重吨,总吨,吃水
413975363," ""0"""," ""null"""," ""77"""," ""16"""," ""null"""," ""null"""," ""null"""
413997508," ""null"""," ""null"""," ""69"""," ""16"""," ""null"""," ""null"""," ""null"""
413998722," ""null"""," ""null"""," ""67"""," ""14"""," ""null"""," ""null"""," ""null"""
412503630," ""0"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413436640," ""0"""," ""华广77"""," ""53"""," ""9"""," """""," """""," ""2.5"""
413469070," ""33"""," ""null"""," ""53"""," ""12"""," ""null"""," ""null"""," ""null"""
413510020," ""null"""," ""null"""," ""64"""," ""13"""," ""null"""," ""null"""," ""null"""
413762704," ""0"""," """""," ""50"""," ""15"""," ""346"""," ""235"""," ""null"""
413772411," ""null"""," ""粤韶关货2195"""," ""51"""," ""9"""," """""," ""469"""," ""6"""
413853422," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""null"""
413900266," ""null"""," ""粤韶关货2152"""," ""53"""," ""11"""," ""879"""," ""598"""," ""null"""
413900477," ""null"""," """""," ""65"""," ""13"""," ""1617"""," ""970"""," ""null"""
413900497," ""485441"""," ""南南燃油21"""," ""75"""," ""14"""," """""," ""1209"""," ""0"""
413900531," ""null"""," ""null"""," ""71"""," ""11"""," ""null"""," ""null"""," ""null"""
413902999," ""null"""," ""null"""," ""50"""," ""16"""," ""null"""," ""null"""," ""null"""
413970116," ""0"""," ""null"""," ""50"""," ""13"""," ""null"""," ""null"""," ""0"""
413975685," ""0"""," ""null"""," ""55"""," ""13"""," ""null"""," ""null"""," ""null"""
413982154," ""0"""," ""null"""," ""46"""," ""8"""," ""null"""," ""null"""," ""null"""
413982602," ""0"""," ""null"""," ""49"""," ""13"""," ""null"""," ""null"""," ""null"""
413986484," ""null"""," ""null"""," ""57"""," ""13"""," ""null"""," ""null"""," ""null"""
413998731," ""0"""," ""null"""," ""50"""," ""14"""," ""null"""," ""null"""," ""null"""
413998931," ""null"""," ""null"""," ""66"""," ""16"""," ""null"""," ""null"""," ""null"""
413999368," ""null"""," ""null"""," ""73"""," ""16"""," ""null"""," ""null"""," ""null"""
412469050," ""0"""," ""大洋08"""," ""8"""," ""8"""," """""," ""996"""," ""2"""
413474030," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""," ""null"""
413480570," ""0"""," ""null"""," ""86"""," ""18"""," ""null"""," ""null"""," ""null"""
