股票,今日增幅,var1[0],var1[1],var1[2],是否最低标志,var7[0],var7[1],var7[2],ttm,near3,near5,near10,near,ttm_ind,pb,pb_ind,value,roe,roe_near3_ind,roe_near5_ind,roe_near_ind
卫士通(002268),9.989220265900114,10.210330598149227,23.444680983958733,62.79174570158568,False,68.43882994181135,70.4639288799133,82.27835732794799,197.3,75.8%,71%,73.9%,73.7%,56.75,5.93,5.74,256.61 亿,2.35%,8.99%,5.34%,16.98%
水晶光电(002273),0.4545454545454448,5.201071212079512,-2.013294996534256,-3.6800013963185165,False,65.7246174713791,60.85377985364408,58.35965747041938,50.87,83.3%,54.1%,55.5%,55.5%,46.55,5.13,4.91,215.29 亿,10.25%,8.52%,7.05%,14.48%
洋河股份(002304),-1.805891848264736,-0.22184367193754895,26.978719067244725,28.601816965425485,False,13.08195301059391,14.388854346038894,12.33172530603603,17.84,11.2%,15.1%,28.5%,28.5%,34.07,4.04,4.08,1466.75 亿,23.3%,10.53%,10.76%,12.76%
顺丰控股(002352),-3.8976614031581107,80.25339078172337,87.96457652956167,47.51016687693755,False,90.22501059862323,92.32984876605074,87.2078323903083,36.35,64.5%,41.5%,40.4%,40.4%,28.33,5.34,2.02,2122.53 亿,16.67%,10%,6.94%,14.12%
千方科技(002373),-1.7494751574527643,37.67080977537975,36.29566846133025,25.041151697430365,False,78.59208963273552,80.16197808319558,77.86719604954936,48.49,89%,59.9%,48.1%,48.1%,56.75,4.9,5.74,418.68 亿,10.59%,8.99%,5.34%,16.98%
海康威视(002415),0.7022471910112359,-7.338292113174248,1.0056443988651154,13.621432503910768,False,53.97622921187318,49.030731025173324,47.363822230188525,27.95,45.3%,61.4%,44.5%,44.5%,54.01,8.28,5.02,3350.19 亿,30.13%,9.08%,6.98%,14.52%
启明星辰(002439),1.243126942385855,7.148551894624688,10.981576656758932,20.56297107835644,False,70.38897797991397,66.35103384677191,65.84003207276903,69.33,77.6%,50.4%,47.9%,47.9%,56.75,10.07,5.74,379.77 亿,11.71%,8.99%,5.34%,16.98%
欧菲光(002456),1.760745727602278,22.470232269278966,9.313981935150764,6.9770919285505215,False,65.50995345328666,61.03091379691371,59.92857158817153,-31.09,-1%,-1%,-1%,-1%,46.55,6.1,4.91,533.08 亿,-0.87%,8.52%,7.05%,14.48%
沪电股份(002463),-0.8382815228780944,28.405259985060297,33.65996095946099,35.36638090262818,False,70.50323893998551,72.85703864153894,73.4739580647908,47.15,84.8%,67.5%,78.3%,78.3%,46.55,10.26,4.91,489.65 亿,28.4%,8.52%,7.05%,14.48%
立讯精密(002475),-1.0084379501955174,12.561674481387996,22.503286618877212,28.493033379000906,False,69.3060450300036,70.51902283237888,69.46337002335817,65.28,99.5%,98.8%,96.3%,96.3%,46.55,14.1,4.91,2580.62 亿,25.4%,8.52%,7.05%,14.48%
三七互娱(002555),-1.5260581629714773,11.022608494760789,17.04761442447301,18.91389864107191,False,59.27852026626017,57.95860905966752,55.13230829294338,53.67,97.1%,70.7%,51.4%,51.4%,50.79,11.08,4.51,722.39 亿,20.81%,6.77%,3.36%,15.06%
洽洽食品(002557),-1.9203413940256102,63.72971171059265,54.3423589694429,37.37462313369693,False,80.52464613811459,81.4295417812294,79.31674146218025,39.54,99.7%,99.8%,99.9%,99.9%,38.19,6.07,4.05,209.75 亿,17.34%,9.8%,8.9%,14.05%
百润股份(002568),6.0721062618595765,47.22476335100151,46.479601836049056,60.02510162261632,False,83.07494276502318,85.24179105583931,87.92200423486065,78.58,81.5%,77.1%,79.9%,79.9%,38.19,9.04,4.05,174.34 亿,10.97%,9.8%,8.9%,14.05%
比亚迪(002594),1.5258040388930594,33.70786630613611,21.048638664516886,19.574548968822853,False,72.86921251296302,68.81728104649554,67.25497039780883,65.49,99.2%,81.4%,65.2%,65.2%,34.34,3.26,2.61,1851.59 亿,5%,10.49%,6.86%,14.35%
sz002607,2.238465052535397,73.1734410047759,88.14860852439409,92.36140759622197,False,90.05725873126853,93.29848138856403,94.2943716249555,,,,,,,,,,,,,
完美世界(002624),-3.0314807617567086,70.7469600937888,72.12961504140532,57.82684415405322,False,53.19426554002339,54.37222098840694,50.82251403915603,34.61,97.2%,68.2%,50.4%,50.4%,30.93,6.77,2.74,645.29 亿,21.19%,6.13%,0.28%,9.24%
一心堂(002727),1.4726184997699046,4.906543641259205,20.379437443743043,47.554053647215426,False,13.804019638483107,15.610656057899014,19.9516353650193,21.34,4%,2.5%,2.5%,2.5%,37.51,2.81,3.82,125.19 亿,14.3%,11.83%,10.19%,15.21%
埃斯顿(002747),0.7846556233652996,-6.552377915072071,1.3249775578769771,14.666106873344717,False,55.085713447005126,50.295872512647534,48.22196795203297,110.6,64.7%,52.5%,52.5%,52.5%,34.88,6.21,2.6,97.19 亿,5.19%,5.48%,3.84%,12.89%
大博医疗(002901),6.849719515795691,36.18448772954241,21.88959248434128,45.27771333899352,False,81.24997531917474,78.72645577974012,82.99719034027206,67.6,97.7%,97.7%,97.7%,97.7%,48.1,18.28,5.99,291.16 亿,29.26%,11.43%,10.15%,16.39%
特锐德(300001),1.4798206278026829,-4.311849355796127,1.2416810047905926,15.157094993831024,False,37.39972423223822,28.982836225683585,25.568395893485736,118.42,83.7%,65.7%,81.2%,81.2%,34.06,6.98,2.49,225.75 亿,6.06%,6.88%,4.16%,14.61%
乐普医疗(300003),4.752418895845195,24.728864694643505,17.507291369907165,41.246001751448006,False,73.51975427646454,72.39379089186993,78.45791955676698,38.87,45.8%,29.6%,41.3%,41.3%,48.1,8.79,5.99,655.83 亿,25.31%,11.43%,10.15%,16.39%
华测检测(300012),1.8913971934106082,12.86437362411192,13.441975610419433,25.969059667647713,False,62.1342646429514,57.90733941255147,58.90394780707504,59.05,44.6%,45%,63.6%,63.6%,44.14,9.15,3.27,276.81 亿,20.35%,3.74%,4.11%,6.23%
爱尔眼科(300015),1.000000000000004,1.6584987328539569,37.75405402424852,60.380639235859604,False,61.48509617770198,65.876564952998,70.540431725422,97.7,91.9%,92.1%,91.9%,91.9%,37.51,20.39,3.82,1314.09 亿,22.6%,11.83%,10.19%,15.21%
网宿科技(300017),0.6965174129353084,26.480407209593807,13.274347264791913,8.65505180162765,False,78.39955868116,74.49875160213863,72.73203784652907,25.53,43.6%,28.3%,15.7%,15.7%,56.75,2.62,5.74,246.32 亿,11.07%,8.99%,5.34%,16.98%
